Date,Credit/Debit,Transaction Name,Balance,Category
9/6/2024,-6.65,Chatime UQ St Lucia St Lucia AU,1026.71,Entertainment
9/6/2024,-18.5,Espresso Garage South BrisbanAU,1033.36,Eating out
9/6/2024,-5.56,COFFEE AT THE KOMBI SOUTH BRISBAN QLD AU,1051.86,Eating out
8/6/2024,-26.24,SQ *SAINT LUCY CAFFE St lucia AU,1057.42,Eating out
8/6/2024,-5.3,BAR MERLO UQ BRISBANE AU,1083.66,Food
8/6/2024,-3.7,CantaloupeSystemsAustr Albion QL AUS Card xx4604 Value Date: 06/06/2024,1088.96,Eating out
7/6/2024,-90.99,URBAN THAI MASSAGE & SPA BRISBANE QLD AU,1092.66,Food
7/6/2024,-5.59,SQ *HEY MR.DUTTON PARK Dutton Park AU,1183.65,Entertainment
7/6/2024,-6.56,SQ *BRISBEAN COFFEE Alderley AU,1189.24,Food
7/6/2024,-4.4,ALH VENUES 8098 MITCHELTON AU AUS Card xx4604 Value Date: 05/06/2024,1195.8,Eating out
7/6/2024,-4.2,ALH VENUES 8098 MITCHELTON AU AUS Card xx4604 Value Date: 05/06/2024,1200.2,Travel
7/6/2024,-4.58,KENKO SUSHI HOUSE ST LUCIA AU AUS Card xx4604 Value Date: 05/06/2024,1204.4,Eating out
7/6/2024,-11.2,BAR MERLO UQ BRISBANE QL AUS Card xx4604 Value Date: 05/06/2024,1208.98,Food
7/6/2024,-13,Guzman y Gomez St Lucia QL AUS Card xx4604 Value Date: 05/06/2024,1220.18,Travel
7/6/2024,-36.62,WWW.ALHGROUP.COM* ME&U SYDNEY NS AUS Card xx4604 Value Date: 05/06/2024,1233.18,Food
6/6/2024,-19.17,DRAKE SUPERMARKETS M MCDOWALL AU,1269.8,Eating out
6/6/2024,-1,KRUSTY KRAB SEAFOODS MCDOWALL QLD AU,1288.97,Travel
6/6/2024,-5.1,SQ *SMOKIN JOES ESPRES Everton Park AU,1289.97,Eating out
6/6/2024,-14.6,TCC Everton Hills Everton Hills QL AUS Card xx4604 Value Date: 03/06/2024,1295.07,Food
6/6/2024,-4.74,OFFICEWORKS 0415 ASPLEY AU AUS Card xx4604 Value Date: 04/06/2024,1309.67,Eating out
5/6/2024,-17,UQ SPORT LTD ST LUCIA AU,1314.41,Entertainment
5/6/2024,-22.95,DBS*Fitness Cartel Asp Aspley QL AUS Card xx4604 Value Date: 03/06/2024,1331.41,Food
5/6/2024,-6,ZARRAFFAS COFFEE GROV KEPERRA AUS Card xx4604 Value Date: 02/06/2024,1354.36,Eating out
4/6/2024,-6.45,MCDONALDS DT 0306 KEPERRA QLDAU,1360.36,Eating out
4/6/2024,-6,ZARRAFFAS COFFEE GROVELY KEPERRA QLD AU Card xx4604,1366.81,Eating out
4/6/2024,-6.64,TCC Everton Hills Everton Hills QL AUS Card xx4604 Value Date: 30/05/2024,1372.81,Entertainment
4/6/2024,-53.2,7 ELEVEN 4229 EVERTON HILLS QL AUS Card xx4604 Value Date: 01/06/2024,1379.45,Eating out
4/6/2024,-14.6,TCC Everton Hills Everton Hills QL AUS Card xx4604 Value Date: 01/06/2024,1432.65,Travel
1/6/2024,-38.88,Transfer to xx6073 CommBank app,1447.25,Food
1/6/2024,38.88,Transfer from xx3679 CommBank app,1486.13,Eating out
31/5/2024,-21580,Transfer to xx6073 NetBank,1447.25,Eating out
31/5/2024,21579.36,Transfer from xx3679 NetBank,23027.25,Eating out
31/5/2024,-6,ZARRAFFAS COFFEE GROVELY KEPERRA QLD AU Card xx4604,1447.89,Eating out
31/5/2024,-5,Marketcart Herston AU AUS Card xx4604 Value Date: 29/05/2024,1453.89,Food
31/5/2024,-14.13,YUMMO SUSHI SOUTH BRISBAN QL AUS Card xx4604 Value Date: 29/05/2024,1458.89,Food
30/5/2024,-1500,Transfer to xx3679 NetBank,1473.02,Eating out
30/5/2024,-19.95,UPDOC.COM.AU -KNPAGPWR,2973.02,Food
30/5/2024,-11.9,Guzman y Gomez ACD Albany Creek AU,2992.97,Food
30/5/2024,-12.9,Guzman y Gomez St Lucia QL AUS Card xx4604 Value Date: 29/05/2024,3004.87,Food
29/5/2024,726,Salary Q GROUP 28052024VAND,3017.77,Food
29/5/2024,-105.99,SUPER CHEAP AUTO EVE EVERTON PARK QL AUS Card xx4604 Value Date: 27/05/2024,2291.77,Travel
29/5/2024,-22.95,DBS*Fitness Cartel Asp Aspley QL AUS Card xx4604 Value Date: 27/05/2024,2397.76,Eating out
29/5/2024,-27.08,CellOPark Australia Matraville NS AUS Card xx4604 Value Date: 27/05/2024,2420.71,Eating out
28/5/2024,-21,ZAIHOU PTY LTD BRISBANE CITYAU Card xx4604,2447.79,Eating out
28/5/2024,-13.01,SQ *HEY MR.DUTTON PARK Dutton Park AU,2468.79,Travel
28/5/2024,-8.9,CHERMSIDE BUTCHER CHERMSIDE QL AUS Card xx4604 Value Date: 25/05/2024,2481.8,Food
28/5/2024,-5.55,SQ *BRISBEAN COFFEE Alderley AU,2490.7,Eating out
27/5/2024,-14.13,SQ *HEY MR.DUTTON PARK Dutton Park AU,2496.25,Travel
27/5/2024,-4.98,SQ *HEY MR.DUTTON PARK Dutton Park AU,2510.38,Travel
27/5/2024,-13.62,SQ *BRISBEAN COFFEE Alderley AU,2515.36,Travel
26/5/2024,-4.56,SQ *SAINT LUCY CAFFE St lucia AU,2528.98,Food
26/5/2024,-2.65,DAN DAN DRINKS PTY LTD Middle ParQLDAU,2533.54,Eating out
26/5/2024,-1.25,IGA ST LUCIA ST LUCIA AU Card xx4604,2536.19,Food
26/5/2024,-26.7,YINGHONG ZHANG ST LUCIA QLD AU Card xx4604,2537.44,Eating out
25/5/2024,-3.6,COLES 4547 CHERMSIDE AU,2564.14,Food
25/5/2024,-5,Cafe 641.5 Chermside Chermside AU,2567.74,Utilities
25/5/2024,-6.5,Cafe 641.5 Chermside Chermside AU,2572.74,Eating out
25/5/2024,-5.5,SQ *COFFEE BARRE Aspley AU,2579.24,Eating out
25/5/2024,-5.4,BOOKMARK CAFE ST LUCIA QL AUS Card xx4604 Value Date: 23/05/2024,2584.74,Food
24/5/2024,-2.5,Gecko Vending - Wararb Wamuran QLDAU,2590.14,Food
24/5/2024,-18.09,SQ *HEY MR.DUTTON PARK Dutton Park AU,2592.64,Food
23/5/2024,-19.95,UPDOC.COM.AU -KNPAGPWR,2610.73,Eating out
23/5/2024,-13.62,SQ *BRISBEAN COFFEE Alderley AU,2630.68,Travel
22/5/2024,726,Salary Q GROUP 21052024VAND,2644.3,Eating out
22/5/2024,-14.17,UQU Main Refectory St Lucia AU,1918.3,Utilities
22/5/2024,-9.2,LAKESIDE ENTERPRISES UNIVERSITY OFAU Card xx4604,1932.47,Travel
22/5/2024,-21,LAKESIDE ENTERPRISES UNIVERSITY OFAU Card xx4604,1941.67,Food
22/5/2024,-19,CASSIS AUSTRALIA PTY L WOOLLOONGABBA AU AUS Card xx4604 Value Date: 20/05/2024,1962.67,Food
22/5/2024,-22.95,DBS*Fitness Cartel Asp Aspley QL AUS Card xx4604 Value Date: 20/05/2024,1981.67,Food
22/5/2024,-5.4,7-ELEVEN 4098 ASPLEY QL AUS Card xx4604 Value Date: 19/05/2024,2004.62,Food
22/5/2024,-100.11,CALTEX EVERTON PARK EVERTON PARK AUS Card xx4604 Value Date: 18/05/2024,2010.02,Travel
22/5/2024,-5.99,THE STANDARD MARKET C SOUTHPORT AUS Card xx4604 Value Date: 19/05/2024,2110.13,Food
22/5/2024,-30,TRANSLINK BRISBANE AUS Card xx4604 Value Date: 21/05/2024,2116.12,Eating out
21/5/2024,-4.2,DRAKE SUPERMARKETS M MCDOWALL AU,2146.12,Eating out
21/5/2024,-1.1,MCDONALDS CENTRAL BRISBANE CITYQLDAU,2150.32,Food
21/5/2024,-1.1,MCDONALDS CENTRAL BRISBANE CITYQLDAU,2151.42,Travel
21/5/2024,-15.8,CHAPTER 3 BRISBANE CITY AU,2152.52,Eating out
21/5/2024,-2.5,Gecko Vending - Wararb Wamuran QLDAU,2168.32,Food
21/5/2024,-5.59,SQ *HEY MR.DUTTON PARK Dutton Park AU,2170.82,Entertainment
21/5/2024,-4.45,Microsoft*Store Sydney AU AUS Card xx4604 Value Date: 18/05/2024,2176.41,Food
21/5/2024,-62.99,SUPER CHEAP AUTO CHERMSIDE QL AUS Card xx4604 Value Date: 18/05/2024,2180.86,Utilities
21/5/2024,-21.69,SUPER CHEAP AUTO KEPERRA QL AUS Card xx4604 Value Date: 18/05/2024,2243.85,Eating out
21/5/2024,-25,MED*ALDIMobile CHATSWOOD AU AUS Card xx4604 Value Date: 19/05/2024,2265.54,Eating out
21/5/2024,-13.62,SQ *BRISBEAN COFFEE Alderley AU,2290.54,Food
20/5/2024,-169,99 Bikes Everton Park Everton Park AU,2304.16,Eating out
20/5/2024,-5.08,SQ *HEY MR.DUTTON PARK Dutton Park AU,2473.16,Eating out
20/5/2024,-2.5,Gecko Vending - Wararb Wamuran QLDAU,2478.24,Travel
20/5/2024,-2.54,SQ *HEY MR.DUTTON PARK Dutton Park AU,2480.74,Food
20/5/2024,-13.62,SQ *BRISBEAN COFFEE Alderley AU,2483.28,Utilities
18/5/2024,-68.9,BLURB HOLDINGS PTY L SURFERS PARA AU,2496.9,Eating out
18/5/2024,-0.45,BP LOGAN MOTOWAY695 LARAPINTA AU,2565.8,Eating out
18/5/2024,-6,ZARRAFFAS COFFEE GROVELY KEPERRA QLD AU Card xx4604,2566.25,Eating out
18/5/2024,-5.3,BAR MERLO UQ BRISBANE QL AUS Card xx4604 Value Date: 16/05/2024,2572.25,Eating out
18/5/2024,-8.6,SUSHI HUB ALBERT ST BRISBANE CITY QL AUS Card xx4604 Value Date: 15/05/2024,2577.55,Eating outuções
17/5/2024,-6.9,Krispy Kreme Albert St 131 Queen StrAU,2586.15,Eating out
17/5/2024,-23.5,ZAIHOU PTY LTD BRISBANE CITYAU Card xx4604,2593.05,Eating out
17/5/2024,-8.07,SQ *BRISBEAN COFFEE Alderley AU,2616.55,Eating out
17/5/2024,-6.56,SQ *BRISBEAN COFFEE Alderley AU,2624.62,Entertainment
17/5/2024,-4,CantaloupeSystemsAustr Albion QL AUS Card xx4604 Value Date: 15/05/2024,2631.18,Eating out
17/5/2024,-12.1,UQU Main Refectory St Lucia QL AUS Card xx4604 Value Date: 16/05/2024,2635.18,Eating out
17/5/2024,-5.35,THE UNIVERSITY OF QU ST LUCIA AUS Card xx4604 Value Date: 16/05/2024,2647.28,Food
16/5/2024,-9.6,UQU Main Refectory St Lucia AU,2652.63,Eating out
16/5/2024,-8.48,UQU Bakery St Lucia AU,2662.23,Food
16/5/2024,-7.93,SQ *HEY MR.DUTTON PARK Dutton Park QL AUS Card xx4604 Value Date: 14/05/2024,2670.71,Eating out
15/5/2024,726,Salary Q GROUP 14052024VAND,2678.64,Eating out
15/5/2024,-4.5,Krispy Kreme Albert St 131 Queen StrAU,1952.64,Eating out
15/5/2024,-7.54,UQU Main Refectory St Lucia AU,1957.14,Eating out
15/5/2024,-5.55,SQ *BRISBEAN COFFEE Alderley AU,1964.68,Eating out
15/5/2024,-5.3,BAR MERLO UQ BRISBANE QL AUS Card xx4604 Value Date: 11/05/2024,1970.23,Eating out
15/5/2024,-22.95,DBS*Fitness Cartel Asp Aspley QL AUS Card xx4604 Value Date: 13/05/2024,1975.53,Food
15/5/2024,-8.8,SUSHI HUB ALBERT ST BRISBANE CITY QL AUS Card xx4604 Value Date: 12/05/2024,1998.48,Eating out
15/5/2024,1738.08,Return UNITED1623873508600 CONTINENTAL AU AUS Card xx4604 Value Date: 11/05/2024,2007.28,Eating out
14/5/2024,-13,CHEZ NOUS CAFE BRISBANE QL AUS Card xx4604 Value Date: 10/05/2024,269.2,Travel
14/5/2024,-8.17,YO CHI ALBERT ST BRISBANE ADEL QL AUS Card xx4604 Value Date: 10/05/2024,282.2,Utilities
14/5/2024,-1.25,WOOLWORTHS 2583 STAFFORD AU AUS Card xx4604 Value Date: 11/05/2024,290.37,Food
14/5/2024,-6.1,THE BAGEL BOYS PTY LTD ST LUCIA AU AUS Card xx4604 Value Date: 11/05/2024,291.62,Food
14/5/2024,-4,CantaloupeSystemsAustr Albion QL AUS Card xx4604 Value Date: 11/05/2024,297.72,Eating out
14/5/2024,-1738.08,UNITED1623873508600 CONTINENTAL AU AUS Card xx4604 Value Date: 10/05/2024,301.72,Eating out
13/5/2024,-11.1,DRAKE SUPERMARKETS M MCDOWALL AU,2039.8,Food
13/5/2024,-8.13,SQ *HEY MR.DUTTON PARK Dutton Park AU,2050.9,Utilities
12/5/2024,-79,Lululemon Brisbane AU,2059.03,Eating out
12/5/2024,-52.9,Nutrition Warehouse Brisbane AU,2138.03,Eating out
12/5/2024,-7.5,STARBUCKS COFFEE D00 BRISBANE AU,2190.93,Utilities
12/5/2024,-11.05,STARBUCKS COFFEE D02 BRISBANE AU,2198.43,Food
11/5/2024,-24,KMART 1275 STAFFORD AU,2209.48,Eating out
10/5/2024,-17.98,Thai Street Kitchen Brisbane AU,2233.48,Eating out
10/5/2024,-29.9,FEATHER.COM.AU KINCUMBER NS AUS Card xx4604 Value Date: 08/05/2024,2251.46,Food
10/5/2024,-16.67,THE BAGEL BOYS PTY LTD ST LUCIA AU AUS Card xx4604 Value Date: 08/05/2024,2281.36,Entertainment
10/5/2024,-4,CantaloupeSystemsAustr Albion QL AUS Card xx4604 Value Date: 08/05/2024,2298.03,Eating out
10/5/2024,-14.3,SUSHI HUB ALBERT ST BRISBANE CITY QL AUS Card xx4604 Value Date: 07/05/2024,2302.03,Eating out
10/5/2024,-30,TRANSLINK BRISBANE AUS Card xx4604 Value Date: 08/05/2024,2316.33,Eating out
9/5/2024,30,Fast Transfer From LOURDES VAN DER NEUT Food,2346.33,Eating out
9/5/2024,-6,ZARRAFFAS COFFEE GROVELY KEPERRA QLD AU Card xx4604,2316.33,Eating out
9/5/2024,-29.4,KFC ASPLEY ASPLEY QL AUS Card xx4604 Value Date: 06/05/2024,2322.33,Eating out
9/5/2024,-11.98,MR TOYS TOYWORLD ASPLEY QL AUS Card xx4604 Value Date: 06/05/2024,2351.73,Eating out
8/5/2024,-1.1,MCDONALDS QUEEN ST BRISBANE QLDAU,2363.71,Eating out
8/5/2024,-24.1,ZAIHOU PTY LTD BRISBANE CITYAU Card xx4604,2364.81,Eating out
8/5/2024,521.38,Salary Q GROUP 07052024VAND,2388.91,Food
8/5/2024,-17,UQ SPORT LTD ST LUCIA AU,1867.53,Eating out
8/5/2024,-6.08,UQ STORE PTY LTD St Lucia AU,1884.53,Eating out
8/5/2024,-22.95,DBS*Fitness Cartel Asp Aspley QL AUS Card xx4604 Value Date: 06/05/2024,1890.61,Eating out
8/5/2024,-61,Bulk Nutrients 61362664725 TA AUS Card xx4604 Value Date: 05/05/2024,1913.56,Food
7/5/2024,-17.18,SQ *HEY MR.DUTTON PARK Dutton Park AU,1974.56,Food
7/5/2024,-46.77,WWW.ALHGROUP.COM* ME&U SYDNEY NS AUS Card xx4604 Value Date: 03/05/2024,1991.74,Eating out
7/5/2024,-33.5,SMP*Cafe 63 Chermside Chermside AU AUS Card xx4604 Value Date: 05/05/2024,2038.51,Eating out
7/5/2024,-17.04,HAROL'S ESPRESSO PTY Brisbane CityAU,2072.01,Utilities
5/5/2024,-6,ZARRAFFAS COFFEE GROVELY KEPERRA QLD AU Card xx4604,2089.05,Eating out
4/5/2024,-16.67,THE BAGEL BOYS PTY LTD ST LUCIA AU AUS Card xx4604 Value Date: 02/05/2024,2095.05,Entertainment
4/5/2024,-4.7,BAR MERLO UQ BRISBANE QL AUS Card xx4604 Value Date: 02/05/2024,2111.72,Eating out
4/5/2024,-5.64,TCC Everton Hills Everton Hills QL AUS Card xx4604 Value Date: 01/05/2024,2116.42,Eating out
4/5/2024,-50.17,COLES EXPRESS 1775 ASPLEY AU AUS Card xx4604 Value Date: 02/05/2024,2122.06,Eating out
